algorithm,seed,trace,step,time_seconds,arrival_rate,active_instances,pending_startup,queue_length,action,reward,instance_seconds,utilization,sla_violation_fraction,forecast_used,forecast_error,timely_completions,late_completions,rejections,timeouts
Threshold baseline,11,ramp,0,60.0,90.68333333333334,2,0,0,1,1.6,120.0,0.45765347543880547,0.0,89.5,-1.1833333333333371,5444,0,0,0
Threshold baseline,11,ramp,1,120.0,90.3,2,0,0,1,1.6,120.0,0.4552266777029799,0.0,89.855,-0.4449999999999932,5417,0,0,0
Threshold baseline,11,ramp,2,180.0,90.06666666666666,2,0,0,1,1.6,120.0,0.4645463936028321,0.0,89.9885,-0.07816666666666094,5406,0,0,0
Threshold baseline,11,ramp,3,240.0,90.76666666666667,2,0,0,1,1.6,120.0,0.4458843328300825,0.0,90.01195,-0.7547166666666669,5446,0,0,0
Threshold baseline,11,ramp,4,300.0,113.15,2,0,0,1,1.6,120.0,0.5670099738920326,0.0,90.238365,-22.911635000000004,6788,0,0,0
Threshold baseline,11,ramp,5,360.0,158.76666666666668,2,0,2,1,1.5996666666666668,120.0,0.7837844005468,0.0,97.11185549999999,-61.65481116666669,9523,0,0,0
Threshold baseline,11,ramp,6,420.0,198.36666666666667,2,1,162,2,-4.1039545222279,180.0,0.9979048989301476,0.8794924203713167,115.60829884999998,-82.75836781666669,1415,10327,0,0
Threshold baseline,11,ramp,7,480.0,243.43333333333334,3,0,7,1,1.1394837398373985,180.0,0.8213462124953957,0.043224932249322494,140.435809195,-102.99752413833335,14122,638,0,0
Threshold baseline,11,ramp,8,540.0,285.96666666666664,3,1,9,2,0.9834615294940545,240.0,0.954580576777105,0.002506411750990907,171.33506643649997,-114.63160023016667,17113,43,0,0
Threshold baseline,11,ramp,9,600.0,332.4166666666667,4,0,0,1,1.2,240.0,0.8306098910959331,0.0,205.72454650554997,-126.69212016111672,19955,0,0,0
Threshold baseline,11,ramp,10,660.0,372.6333333333333,4,1,0,2,0.8,300.0,0.9274252151030169,0.0,243.73218255388497,-128.90115077944836,22358,0,0,0
Threshold baseline,11,ramp,11,720.0,424.21666666666664,5,0,6,1,0.999,300.0,0.847738811372296,0.0,282.40252778771946,-141.81413887894718,25444,0,0,0
Threshold baseline,11,ramp,12,780.0,437.8,5,0,0,1,1.0,300.0,0.8774769899889255,0.0,324.9467694514036,-112.8532305485964,26275,0,0,0
Threshold baseline,11,ramp,13,840.0,435.1333333333333,5,0,0,1,1.0,300.0,0.87083937953231,0.0,358.80273861598255,-76.33059471735078,26108,0,0,0
Threshold baseline,11,ramp,14,900.0,435.6666666666667,5,0,0,1,1.0,300.0,0.8728830570601106,0.0,381.70191703118775,-53.96474963547894,26142,0,0,0
Threshold baseline,11,ramp,15,960.0,433.2,5,0,0,1,1.0,300.0,0.8541401209262726,0.0,397.8913419218314,-35.308658078168605,25990,0,0,0
Threshold baseline,11,ramp,16,1020.0,395.46666666666664,5,0,0,1,1.0,300.0,0.7922413480552617,0.0,408.48393934528195,13.017272678615313,23728,0,0,0
Threshold baseline,11,ramp,17,1080.0,358.26666666666665,5,0,0,1,1.0,300.0,0.719786784098413,0.0,404.5787575416973,46.31209087503066,21497,0,0,0
Threshold baseline,11,ramp,18,1140.0,313.35,5,0,0,1,1.0,300.0,0.6291032020576707,0.0,390.6851302791881,77.33513027918809,18804,0,0,0
Threshold baseline,11,ramp,19,1200.0,272.35,5,0,0,1,1.0,300.0,0.5526032225994648,0.0,367.4845911954317,95.13459119543165,16339,0,0,0
Threshold baseline,11,ramp,20,1260.0,230.51666666666668,5,0,0,1,1.0,300.0,0.46404323447858287,0.0,338.94421383680213,108.42754717013545,13831,0,0,0
Threshold baseline,11,ramp,21,1320.0,193.7,5,0,0,1,1.0,300.0,0.3842333143796138,0.0,306.41594968576146,112.71594968576147,11624,0,0,0
Threshold baseline,11,ramp,22,1380.0,151.48333333333332,5,0,0,1,1.0,300.0,0.2992457396267605,0.0,272.601164780033,121.11783144669968,9087,0,0,0
Threshold baseline,11,ramp,23,1440.0,110.65,5,0,0,1,1.0,300.0,0.22723966389332947,0.0,236.2658153460231,125.61581534602308,6640,0,0,0
Threshold baseline,11,recurring,0,60.0,108.66666666666667,2,0,0,1,1.6,120.0,0.5520716435953216,0.0,107.48333333333333,-1.1833333333333371,6521,0,0,0
Threshold baseline,11,recurring,1,120.0,112.33333333333333,2,0,0,1,1.6,120.0,0.5623356270910801,0.0,107.83833333333334,-4.49499999999999,6738,0,0,0
Threshold baseline,11,recurring,2,180.0,338.85,2,0,3425,1,-4.952023443353445,120.0,1.0,0.9968650183366852,109.18683333333334,-229.66316666666668,53,12046,0,4807
Threshold baseline,11,recurring,3,240.0,444.43333333333334,2,1,4406,2,-5.5343333333333335,180.0,1.0,1.0,178.08578333333332,-266.34755,0,12177,0,13508
Threshold baseline,11,recurring,4,300.0,204.58333333333334,3,0,0,1,-2.5555182543013006,180.0,0.8574790856857738,0.6592530423835501,257.99004833333333,53.40671499999999,5684,9664,0,1333
Threshold baseline,11,recurring,5,360.0,111.65,3,1,0,2,1.0,240.0,0.36991491204392035,0.0,241.96803383333332,130.31803383333332,6700,0,0,0
Threshold baseline,11,recurring,6,420.0,111.48333333333333,4,0,0,1,1.2,240.0,0.2771818069873722,0.0,202.87262368333333,91.38929035,6689,0,0,0
Threshold baseline,11,recurring,7,480.0,109.6,4,0,0,1,1.2,240.0,0.2774610996856178,0.0,175.4558365783333,65.85583657833331,6574,0,0,0
Threshold baseline,11,recurring,8,540.0,109.96666666666667,3,0,0,0,1.2,180.0,0.36794524905908915,0.0,155.6990856048333,45.73241893816663,6600,0,0,0
Threshold baseline,11,recurring,9,600.0,160.85,3,0,0,1,1.4,180.0,0.5313996965342388,0.0,141.9793599233833,-18.870640076616695,9649,0,0,0
Threshold baseline,11,recurring,10,660.0,411.53333333333336,3,0,3997,1,-5.192815615688169,180.0,0.9999534080578314,0.9877748248369171,147.6405519463683,-263.89278138696505,253,17846,0,2596
Threshold baseline,11,recurring,11,720.0,384.31666666666666,3,1,3789,2,-5.6315,240.0,1.0,1.0,226.8083863624578,-157.50828030420885,0,18090,0,5177
Threshold baseline,11,recurring,12,780.0,135.95,4,0,0,1,-1.6623807132094426,240.0,0.49536693583724134,0.47706345220157376,274.06087045372044,138.11087045372045,6247,5688,0,11
Threshold baseline,11,recurring,13,840.0,110.28333333333333,4,0,0,1,1.2,240.0,0.2737174020527192,0.0,232.62760931760428,122.34427598427095,6618,0,0,0
Threshold baseline,11,recurring,14,900.0,108.96666666666667,4,0,0,1,1.2,240.0,0.26736139652691926,0.0,195.92432652232299,86.95765985565632,6539,0,0,0
Threshold baseline,11,recurring,15,960.0,111.65,3,0,0,0,1.2,180.0,0.37705831997314854,0.0,169.83702856562607,58.187028565626065,6700,0,0,0
Threshold baseline,11,recurring,16,1020.0,110.21666666666667,3,0,0,1,1.4,180.0,0.36505374508293154,0.0,152.38091999593823,42.16425332927156,6612,0,0,0
Threshold baseline,11,recurring,17,1080.0,241.13333333333333,3,0,8,1,1.3986666666666665,180.0,0.8029562263001467,0.0,139.73164399715677,-101.40168933617656,14458,0,0,0
Threshold baseline,11,recurring,18,1140.0,452.2,3,1,4517,2,-5.719946448304823,240.0,1.0,0.9945188524952482,170.1521507980097,-282.0478492019903,124,17844,0,4655
Threshold baseline,11,recurring,19,1200.0,297.5833333333333,4,0,0,1,-3.020434432823813,240.0,0.9079784986710658,0.7034057388039688,254.76650555860678,-42.816827774726534,6636,15173,0,565
